Time FPGA: 263.38 ms.
Time CPU: 7.88092 ms.
Error at index 0 ; gold=0; out=0.334622
Error at index 144 ; gold=0; out=0.862836
Error at index 145 ; gold=0; out=0.738385
Error at index 146 ; gold=0; out=0.078478
Error at index 147 ; gold=0; out=0.165493
Error at index 148 ; gold=0; out=0.254713
Error at index 149 ; gold=0; out=0.653244
Error at index 150 ; gold=0; out=0.892183
Error at index 151 ; gold=0; out=0.365003
Error at index 152 ; gold=0; out=0.24397
Error at index 153 ; gold=0; out=0.572449
Error at index 154 ; gold=0; out=0.548548
Error at index 155 ; gold=0; out=0.584902
Error at index 156 ; gold=0; out=0.595236
Error at index 157 ; gold=0; out=0.114963
Error at index 158 ; gold=0; out=0.250675
Error at index 159 ; gold=0; out=0.544773
Error at index 160 ; gold=0; out=0.105474
Error at index 161 ; gold=0; out=0.0414111
Error at index 162 ; gold=0; out=0.036832
Error at index 163 ; gold=0; out=0.756721
Error at index 164 ; gold=0; out=0.0189695
Error at index 165 ; gold=0; out=0.817041
Error at index 166 ; gold=0; out=0.741015
Error at index 167 ; gold=0; out=0.188623
Error at index 168 ; gold=0; out=0.312486
Error at index 169 ; gold=0; out=0.0344321
Error at index 170 ; gold=0; out=0.743912
Error at index 171 ; gold=0; out=0.539291
Error at index 172 ; gold=0; out=0.978792
Error at index 173 ; gold=0; out=0.855028
Error at index 174 ; gold=0; out=0.629033
Error at index 175 ; gold=0; out=0.841629
Error at index 176 ; gold=0; out=0.593412
Error at index 177 ; gold=0; out=0.707511
Error at index 178 ; gold=0; out=0.00712178
Error at index 179 ; gold=0; out=0.848125
Error at index 180 ; gold=0; out=0.360755
Error at index 181 ; gold=0; out=0.899305
Error at index 182 ; gold=0; out=0.213129
Error at index 183 ; gold=0; out=0.604725
Error at index 184 ; gold=0; out=0.471754
Error at index 185 ; gold=0; out=0.761677
Error at index 186 ; gold=0; out=0.189627
Error at index 187 ; gold=0; out=0.0669897
Error at index 188 ; gold=0; out=0.87664
Error at index 189 ; gold=0; out=0.440302
Error at index 190 ; gold=0; out=0.611763
Error at index 191 ; gold=0; out=0.982114
Error at index 192 ; gold=0; out=0.481713
Error at index 193 ; gold=0; out=0.648595
Error at index 194 ; gold=0; out=0.738835
Error at index 195 ; gold=0; out=0.500683
Error at index 196 ; gold=0; out=0.465636
Error at index 197 ; gold=0; out=0.47985
Error at index 198 ; gold=0; out=0.689305
Error at index 199 ; gold=0; out=0.778122
Error at index 200 ; gold=0; out=0.514282
Error at index 201 ; gold=0; out=0.433218
Error at index 202 ; gold=0; out=0.317413
Error at index 203 ; gold=0; out=0.493074
Error at index 204 ; gold=0; out=0.288245
Error at index 205 ; gold=0; out=0.946446
Error at index 206 ; gold=0; out=0.334703
Error at index 207 ; gold=0; out=0.881658
Error at index 208 ; gold=0; out=0.653957
Error at index 209 ; gold=0; out=0.341825
Error at index 210 ; gold=0; out=0.729783
Error at index 211 ; gold=0; out=0.0147124
Error at index 212 ; gold=0; out=0.241129
Error at index 213 ; gold=0; out=0.942912
Error at index 214 ; gold=0; out=0.619437
Error at index 215 ; gold=0; out=0.712884
Error at index 216 ; gold=0; out=0.704589
Error at index 217 ; gold=0; out=0.809064
Error at index 218 ; gold=0; out=0.779873
Error at index 219 ; gold=0; out=0.581229
Error at index 220 ; gold=0; out=0.249366
Error at index 221 ; gold=0; out=0.391636
Error at index 222 ; gold=0; out=0.563343
Error at index 223 ; gold=0; out=0.731079
Error at index 224 ; gold=0; out=0.0402315
Error at index 225 ; gold=0; out=0.302178
Error at index 226 ; gold=0; out=0.231762
Error at index 227 ; gold=0; out=0.505867
Error at index 228 ; gold=0; out=0.782027
Error at index 229 ; gold=0; out=0.921067
Error at index 230 ; gold=0; out=0.283989
Error at index 231 ; gold=0; out=0.296309
Error at index 232 ; gold=0; out=0.354285
Error at index 233 ; gold=0; out=0.601402
Error at index 234 ; gold=0; out=0.789384
Error at index 235 ; gold=0; out=0.64253
Error at index 236 ; gold=0; out=0.547848
Error at index 237 ; gold=0; out=0.124086
Error at index 238 ; gold=0; out=0.524188
Error at index 239 ; gold=0; out=0.201805
Error at index 240 ; gold=0; out=0.465911
Error at index 241 ; gold=0; out=0.253971
Error at index 242 ; gold=0; out=0.216517
Error at index 243 ; gold=0; out=0.707041
Error at index 244 ; gold=0; out=0.196883
Error at index 245 ; gold=0; out=0.835954
Error at index 246 ; gold=0; out=0.419924
Error at index 247 ; gold=0; out=0.901472
Error at index 248 ; gold=0; out=0.645019
Error at index 249 ; gold=0; out=0.199798
Error at index 250 ; gold=0; out=0.482701
Error at index 251 ; gold=0; out=0.894385
Error at index 252 ; gold=0; out=0.591434
Error at index 253 ; gold=0; out=0.0460443
Error at index 254 ; gold=0; out=0.625464
Error at index 255 ; gold=0; out=0.631666
Error at index 256 ; gold=0; out=0.348222
Error at index 257 ; gold=0; out=0.857226
Error at index 258 ; gold=0; out=0.137533
Error at index 259 ; gold=0; out=0.130249
Error at index 260 ; gold=0; out=0.778293
Error at index 261 ; gold=0; out=0.421522
Error at index 262 ; gold=0; out=0.426559
Error at index 263 ; gold=0; out=0.132578
Error at index 264 ; gold=0; out=0.0229233
Error at index 265 ; gold=0; out=0.215942
Error at index 266 ; gold=0; out=0.775108
Error at index 267 ; gold=0; out=0.570771
Error at index 268 ; gold=0; out=0.340029
Error at index 269 ; gold=0; out=0.299296
Error at index 270 ; gold=0; out=0.772576
Error at index 271 ; gold=0; out=0.80594
Error at index 272 ; gold=0; out=0.553267
Error at index 273 ; gold=0; out=0.989093
Error at index 274 ; gold=0; out=0.51298
Error at index 275 ; gold=0; out=0.75015
Error at index 276 ; gold=0; out=0.825047
Error at index 277 ; gold=0; out=0.932905
Error at index 278 ; gold=0; out=0.651622
Error at index 279 ; gold=0; out=0.470066
Error at index 280 ; gold=0; out=0.132702
Error at index 281 ; gold=0; out=0.134323
Error at index 282 ; gold=0; out=0.364451
Error at index 283 ; gold=0; out=0.724137
Error at index 284 ; gold=0; out=0.180367
Error at index 285 ; gold=0; out=0.989915
Error at index 286 ; gold=0; out=0.355802
Error at index 287 ; gold=0; out=0.528589
Error at index 288 ; gold=0; out=0.847142
Error at index 289 ; gold=0; out=0.493335
Error at index 290 ; gold=0; out=0.658839
Error at index 291 ; gold=0; out=0.625435
Error at index 292 ; gold=0; out=0.914856
Error at index 293 ; gold=0; out=0.0853974
Error at index 294 ; gold=0; out=0.758013
Error at index 295 ; gold=0; out=0.93778
Error at index 296 ; gold=0; out=0.30134
Error at index 297 ; gold=0; out=0.533122
Error at index 298 ; gold=0; out=0.508551
Error at index 299 ; gold=0; out=0.641368
Error at index 300 ; gold=0; out=0.832418
Error at index 301 ; gold=0; out=0.281126
Error at index 302 ; gold=0; out=0.447308
Error at index 303 ; gold=0; out=0.385685
Error at index 304 ; gold=0; out=0.270219
Error at index 305 ; gold=0; out=0.960288
Error at index 306 ; gold=0; out=0.135835
Error at index 307 ; gold=0; out=0.0952662
Error at index 308 ; gold=0; out=0.893193
Error at index 309 ; gold=0; out=0.787457
Error at index 310 ; gold=0; out=0.565332
Error at index 311 ; gold=0; out=0.0258954
Error at index 312 ; gold=0; out=0.92178
Error at index 313 ; gold=0; out=0.929783
Error at index 314 ; gold=0; out=0.750032
Error at index 315 ; gold=0; out=0.102148
Error at index 316 ; gold=0; out=0.919699
Error at index 317 ; gold=0; out=0.105834
Error at index 318 ; gold=0; out=0.630737
Error at index 319 ; gold=0; out=0.76684
Error at index 320 ; gold=0; out=0.599169
Error at index 321 ; gold=0; out=0.289576
Error at index 322 ; gold=0; out=0.392275
Error at index 323 ; gold=0; out=0.514025
Error at index 324 ; gold=0; out=0.374973
Error at index 325 ; gold=0; out=0.150289
Error at index 326 ; gold=0; out=0.451805
Error at index 327 ; gold=0; out=0.676313
Error at index 328 ; gold=0; out=0.68341
Error at index 329 ; gold=0; out=0.960356
Error at index 330 ; gold=0; out=0.317681
Error at index 331 ; gold=0; out=0.515828
Error at index 332 ; gold=0; out=0.241482
Error at index 333 ; gold=0; out=0.764989
Error at index 334 ; gold=0; out=0.901513
Error at index 335 ; gold=0; out=0.511701
Error at index 336 ; gold=0; out=0.725277
Error at index 337 ; gold=0; out=0.037348
Error at index 338 ; gold=0; out=0.606967
Error at index 339 ; gold=0; out=0.61847
Error at index 340 ; gold=0; out=0.824805
Error at index 341 ; gold=0; out=0.172299
Error at index 342 ; gold=0; out=0.644366
Error at index 343 ; gold=0; out=0.746585
Error at index 344 ; gold=0; out=0.102083
Error at index 345 ; gold=0; out=0.394398
Error at index 346 ; gold=0; out=0.848733
Error at index 347 ; gold=0; out=0.0217813
Error at index 348 ; gold=0; out=0.500232
Error at index 349 ; gold=0; out=0.47947
Error at index 350 ; gold=0; out=0.788622
Error at index 351 ; gold=0; out=0.0994006
Error at index 352 ; gold=0; out=0.769045
Error at index 353 ; gold=0; out=0.180897
Error at index 354 ; gold=0; out=0.613426
Error at index 355 ; gold=0; out=0.144019
Error at index 356 ; gold=0; out=0.331186
Error at index 357 ; gold=0; out=0.0652309
Error at index 358 ; gold=0; out=0.820331
Error at index 359 ; gold=0; out=0.0145959
Error at index 360 ; gold=0; out=0.0255865
Error at index 361 ; gold=0; out=0.138012
Error at index 362 ; gold=0; out=0.530424
Error at index 363 ; gold=0; out=0.267068
Error at index 364 ; gold=0; out=0.903001
Error at index 365 ; gold=0; out=0.431937
Error at index 366 ; gold=0; out=0.778769
Error at index 367 ; gold=0; out=0.628278
Error at index 368 ; gold=0; out=0.469285
Error at index 369 ; gold=0; out=0.385737
Error at index 370 ; gold=0; out=0.246748
Error at index 371 ; gold=0; out=0.29409
Error at index 372 ; gold=0; out=0.558036
Error at index 373 ; gold=0; out=0.891114
Error at index 374 ; gold=0; out=0.0406754
Error at index 375 ; gold=0; out=0.660119
Error at index 376 ; gold=0; out=0.285511
Error at index 377 ; gold=0; out=0.889408
Error at index 378 ; gold=0; out=0.6819
Error at index 379 ; gold=0; out=0.785743
Error at index 380 ; gold=0; out=0.368878
Error at index 381 ; gold=0; out=0.470522
Error at index 382 ; gold=0; out=0.885144
Error at index 383 ; gold=0; out=0.137923
Error at index 384 ; gold=0; out=0.651419
Error at index 385 ; gold=0; out=0.498569
Error at index 386 ; gold=0; out=0.281942
Error at index 387 ; gold=0; out=0.982604
Error at index 388 ; gold=0; out=0.5638
Error at index 389 ; gold=0; out=0.102273
Error at index 390 ; gold=0; out=0.9972
Error at index 391 ; gold=0; out=0.589387
Error at index 392 ; gold=0; out=0.240285
Error at index 393 ; gold=0; out=0.527624
Error at index 394 ; gold=0; out=0.856455
Error at index 395 ; gold=0; out=0.143286
Error at index 396 ; gold=0; out=0.959561
Error at index 397 ; gold=0; out=0.635225
Error at index 398 ; gold=0; out=0.771564
Error at index 399 ; gold=0; out=0.428847
Error at index 400 ; gold=0; out=0.0209613
Error at index 401 ; gold=0; out=0.0183118
Error at index 402 ; gold=0; out=0.722937
Error at index 403 ; gold=0; out=0.578997
Error at index 404 ; gold=0; out=0.909425
Error at index 405 ; gold=0; out=0.763612
Error at index 406 ; gold=0; out=0.239116
Error at index 407 ; gold=0; out=0.194937
Error at index 408 ; gold=0; out=0.653021
Error at index 409 ; gold=0; out=0.921016
Error at index 410 ; gold=0; out=0.98068
Error at index 411 ; gold=0; out=0.0218985
Error at index 412 ; gold=0; out=0.391538
Error at index 413 ; gold=0; out=0.865823
Error at index 414 ; gold=0; out=0.159822
Error at index 415 ; gold=0; out=0.0429565
Error at index 416 ; gold=0; out=0.364392
Error at index 417 ; gold=0; out=0.441764
Error at index 418 ; gold=0; out=0.0255607
Error at index 419 ; gold=0; out=0.928193
Error at index 420 ; gold=0; out=0.544037
Error at index 421 ; gold=0; out=0.0227608
Error at index 422 ; gold=0; out=0.517579
Error at index 423 ; gold=0; out=0.784322
Error at index 424 ; gold=0; out=0.550385
Error at index 425 ; gold=0; out=0.374035
Error at index 426 ; gold=0; out=0.927608
Error at index 427 ; gold=0; out=0.509946
Error at index 428 ; gold=0; out=0.00925913
Error at index 429 ; gold=0; out=0.699172
Error at index 430 ; gold=0; out=0.938793
Error at index 431 ; gold=0; out=0.0302204
Error at index 432 ; gold=0; out=0.717484
Error at index 433 ; gold=0; out=0.66173
Error at index 434 ; gold=0; out=0.609218
Error at index 435 ; gold=0; out=0.626909
Error at index 436 ; gold=0; out=0.425342
Error at index 437 ; gold=0; out=0.848334
Error at index 438 ; gold=0; out=0.821846
Error at index 439 ; gold=0; out=0.0783627
Error at index 440 ; gold=0; out=0.769351
Error at index 441 ; gold=0; out=0.802525
Error at index 442 ; gold=0; out=0.100261
Error at index 443 ; gold=0; out=0.160889
Error at index 444 ; gold=0; out=0.668348
Error at index 445 ; gold=0; out=0.260083
Error at index 446 ; gold=0; out=0.203845
Error at index 447 ; gold=0; out=0.0327408
Error at index 448 ; gold=0; out=0.701847
Error at index 449 ; gold=0; out=0.229406
Error at index 450 ; gold=0; out=0.960933
Error at index 451 ; gold=0; out=0.245884
Error at index 452 ; gold=0; out=0.252166
Error at index 453 ; gold=0; out=0.478513
Error at index 454 ; gold=0; out=0.0302058
Error at index 455 ; gold=0; out=0.802551
Error at index 456 ; gold=0; out=0.852547
Error at index 457 ; gold=0; out=0.957814
Error at index 458 ; gold=0; out=0.312498
Error at index 459 ; gold=0; out=0.861806
Error at index 460 ; gold=0; out=0.656985
Error at index 461 ; gold=0; out=0.251291
Error at index 462 ; gold=0; out=0.892027
Error at index 463 ; gold=0; out=0.374469
Error at index 464 ; gold=0; out=0.913021
Error at index 465 ; gold=0; out=0.501245
Error at index 466 ; gold=0; out=0.001378
Error at index 467 ; gold=0; out=0.338363
Error at index 468 ; gold=0; out=0.349579
Error at index 469 ; gold=0; out=0.823224
Error at index 470 ; gold=0; out=0.416726
Error at index 471 ; gold=0; out=0.11893
Error at index 472 ; gold=0; out=0.625749
Error at index 473 ; gold=0; out=0.516987
Error at index 474 ; gold=0; out=0.279818
Error at index 475 ; gold=0; out=0.294097
Error at index 476 ; gold=0; out=0.77707
Error at index 477 ; gold=0; out=0.483663
Error at index 478 ; gold=0; out=0.326838
Error at index 479 ; gold=0; out=0.478917
Error at index 480 ; gold=0; out=0.713069
Error at index 481 ; gold=0; out=0.287772
Error at index 482 ; gold=0; out=0.7248
Error at index 483 ; gold=0; out=0.965235
Error at index 484 ; gold=0; out=0.766284
Error at index 485 ; gold=0; out=0.755006
Error at index 486 ; gold=0; out=0.767787
Error at index 487 ; gold=0; out=0.618832
Error at index 488 ; gold=0; out=0.71282
Error at index 489 ; gold=0; out=0.0802846
Error at index 490 ; gold=0; out=0.480638
Error at index 491 ; gold=0; out=0.369805
Error at index 492 ; gold=0; out=0.331575
Error at index 493 ; gold=0; out=0.372665
Error at index 494 ; gold=0; out=0.744274
Error at index 495 ; gold=0; out=0.244596
Error at index 496 ; gold=0; out=0.87391
Error at index 497 ; gold=0; out=0.745652
Error at index 498 ; gold=0; out=0.582959
Error at index 499 ; gold=0; out=0.223489
Error at index 500 ; gold=0; out=0.568876
Error at index 501 ; gold=0; out=0.999685
Error at index 502 ; gold=0; out=0.342418
Error at index 503 ; gold=0; out=0.194625
Error at index 504 ; gold=0; out=0.516672
Error at index 505 ; gold=0; out=0.622236
Error at index 506 ; gold=0; out=0.488722
Error at index 507 ; gold=0; out=0.293742
Error at index 508 ; gold=0; out=0.1059
Error at index 509 ; gold=0; out=0.815561
Error at index 510 ; gold=0; out=0.772658
Error at index 511 ; gold=0; out=0.818968
Error at index 512 ; gold=0; out=0.103332
Error at index 513 ; gold=0; out=0.497459
Error at index 514 ; gold=0; out=0.784204
Error at index 515 ; gold=0; out=0.869616
Error at index 516 ; gold=0; out=0.252465
Error at index 517 ; gold=0; out=0.55199
Error at index 518 ; gold=0; out=0.488448
Error at index 519 ; gold=0; out=0.965285
Error at index 520 ; gold=0; out=0.632275
Error at index 521 ; gold=0; out=0.969086
Error at index 522 ; gold=0; out=0.335091
Error at index 523 ; gold=0; out=0.96385
Error at index 524 ; gold=0; out=0.341751
Error at index 525 ; gold=0; out=0.0793652
Error at index 526 ; gold=0; out=0.208447
Error at index 527 ; gold=0; out=0.215661
Error at index 528 ; gold=0; out=0.825018
Error at index 529 ; gold=0; out=0.791406
Error at index 530 ; gold=0; out=0.43915
Error at index 531 ; gold=0; out=0.393894
Error at index 532 ; gold=0; out=0.791091
Error at index 533 ; gold=0; out=0.781568
Error at index 534 ; gold=0; out=0.588519
Error at index 535 ; gold=0; out=0.307763
Error at index 536 ; gold=0; out=0.403805
Error at index 537 ; gold=0; out=0.0772413
Error at index 538 ; gold=0; out=0.601505
Error at index 539 ; gold=0; out=0.509704
Error at index 540 ; gold=0; out=0.892802
Error at index 541 ; gold=0; out=0.374163
Error at index 542 ; gold=0; out=0.328673
Error at index 543 ; gold=0; out=0.996134
Error at index 544 ; gold=0; out=0.871622
Error at index 545 ; gold=0; out=0.112876
Error at index 546 ; gold=0; out=0.86575
Error at index 547 ; gold=0; out=0.124087
Error at index 548 ; gold=0; out=0.664867
Error at index 549 ; gold=0; out=0.354198
Error at index 550 ; gold=0; out=0.0893726
Error at index 551 ; gold=0; out=0.297141
Error at index 552 ; gold=0; out=0.323285
Error at index 553 ; gold=0; out=0.424463
Error at index 554 ; gold=0; out=0.260992
Error at index 555 ; gold=0; out=0.665036
Error at index 556 ; gold=0; out=0.503829
Error at index 557 ; gold=0; out=0.469439
Error at index 558 ; gold=0; out=0.880697
Error at index 559 ; gold=0; out=0.328846
Error at index 560 ; gold=0; out=0.260845
Error at index 561 ; gold=0; out=0.319847
Error at index 562 ; gold=0; out=0.72274
Error at index 563 ; gold=0; out=0.0519356
Error at index 564 ; gold=0; out=0.101415
Error at index 565 ; gold=0; out=0.311259
Error at index 566 ; gold=0; out=0.359698
Error at index 567 ; gold=0; out=0.50522
Error at index 568 ; gold=0; out=0.3885
Error at index 569 ; gold=0; out=0.961203
Error at index 570 ; gold=0; out=0.0149243
Error at index 571 ; gold=0; out=0.281302
Error at index 572 ; gold=0; out=0.335366
Error at index 573 ; gold=0; out=0.343597
Error at index 574 ; gold=0; out=0.277436
Error at index 575 ; gold=0; out=0.206988
Error at index 576 ; gold=0; out=0.456473
Error at index 577 ; gold=0; out=0.143186
Error at index 578 ; gold=0; out=0.331075
Error at index 579 ; gold=0; out=0.12134
Error at index 580 ; gold=0; out=0.497385
Error at index 581 ; gold=0; out=0.420448
Error at index 582 ; gold=0; out=0.418481
Error at index 583 ; gold=0; out=0.82067
Error at index 584 ; gold=0; out=0.844911
Error at index 585 ; gold=0; out=0.679473
Error at index 586 ; gold=0; out=0.485706
Error at index 587 ; gold=0; out=0.34874
Error at index 588 ; gold=0; out=0.148912
Error at index 589 ; gold=0; out=0.366403
Error at index 590 ; gold=0; out=0.677586
Error at index 591 ; gold=0; out=0.409756
Error at index 592 ; gold=0; out=0.68625
Error at index 593 ; gold=0; out=0.400326
Error at index 594 ; gold=0; out=0.461692
Error at index 595 ; gold=0; out=0.787665
Error at index 596 ; gold=0; out=0.711585
Error at index 597 ; gold=0; out=0.82139
Error at index 598 ; gold=0; out=0.292885
Error at index 599 ; gold=0; out=0.100085
Error at index 600 ; gold=0; out=0.782593
Error at index 601 ; gold=0; out=0.307809
Error at index 602 ; gold=0; out=0.381388
Error at index 603 ; gold=0; out=0.117959
Error at index 604 ; gold=0; out=0.651406
Error at index 605 ; gold=0; out=0.658824
Error at index 606 ; gold=0; out=0.324947
Error at index 607 ; gold=0; out=0.107879
Error at index 608 ; gold=0; out=0.80201
Error at index 609 ; gold=0; out=0.656023
Error at index 610 ; gold=0; out=0.229219
Error at index 611 ; gold=0; out=0.299395
Error at index 612 ; gold=0; out=0.0764708
Error at index 613 ; gold=0; out=0.6477
Error at index 614 ; gold=0; out=0.120065
Error at index 615 ; gold=0; out=0.921382
Error at index 616 ; gold=0; out=0.327173
Error at index 617 ; gold=0; out=0.60577
Error at index 618 ; gold=0; out=0.270122
Error at index 619 ; gold=0; out=0.476084
Error at index 620 ; gold=0; out=0.972173
Error at index 621 ; gold=0; out=0.947708
Error at index 622 ; gold=0; out=0.885841
Error at index 623 ; gold=0; out=0.658423
Error at index 624 ; gold=0; out=0.348035
Error at index 625 ; gold=0; out=0.347533
Error at index 626 ; gold=0; out=0.446088
Error at index 627 ; gold=0; out=0.0596197
Error at index 628 ; gold=0; out=0.168923
Error at index 629 ; gold=0; out=0.738973
Error at index 630 ; gold=0; out=0.159705
Error at index 631 ; gold=0; out=0.951516
Error at index 632 ; gold=0; out=0.0467821
Error at index 633 ; gold=0; out=0.541093
Error at index 634 ; gold=0; out=0.0694754
Error at index 635 ; gold=0; out=0.698188
Error at index 636 ; gold=0; out=0.199916
Error at index 637 ; gold=0; out=0.394423
Error at index 638 ; gold=0; out=0.806068
Error at index 639 ; gold=0; out=0.00192611
Error at index 640 ; gold=0; out=0.0504456
Error at index 641 ; gold=0; out=0.0352864
Error at index 642 ; gold=0; out=0.301321
Error at index 643 ; gold=0; out=0.126916
Error at index 644 ; gold=0; out=0.682986
Error at index 645 ; gold=0; out=0.421386
Error at index 646 ; gold=0; out=0.0482985
Error at index 647 ; gold=0; out=0.010159
Error at index 648 ; gold=0; out=0.0271557
Error at index 649 ; gold=0; out=0.318421
Error at index 650 ; gold=0; out=0.486243
Error at index 651 ; gold=0; out=0.999329
Error at index 652 ; gold=0; out=0.266129
Error at index 653 ; gold=0; out=0.372084
Error at index 654 ; gold=0; out=0.657751
Error at index 655 ; gold=0; out=0.614163
Error at index 656 ; gold=0; out=0.719617
Error at index 657 ; gold=0; out=0.103839
Error at index 658 ; gold=0; out=0.673783
